# Cross-layer reusable QML files (sorted by usage)
# format: <uses> | <ext_layer_count> | <file> | def:<layer> | ext:<comma-separated-layers>
  4 | 2 | ii/modules/common/widgets/MaterialShapeWrappedMaterialSymbol.qml | def:modules/common | ext:kdeConnect,modules/ii
  4 | 2 | ii/modules/common/widgets/StyledIndeterminateProgressBar.qml | def:modules/common | ext:modules/ii,modules/waffle
  3 | 2 | ii/modules/common/models/AdaptedMaterialScheme.qml | def:modules/common | ext:lyricsLayer,modules/ii
  3 | 2 | ii/modules/common/panels/lock/LockContext.qml | def:modules/common | ext:modules/ii,modules/waffle
  3 | 2 | ii/modules/common/widgets/NoticeBox.qml | def:modules/common | ext:modules/ii,root
  3 | 2 | ii/modules/common/widgets/PointingHandLinkHover.qml | def:modules/common | ext:modules/ii,root
  3 | 2 | ii/modules/common/widgets/PopupToolTip.qml | def:modules/common | ext:modules/ii,modules/waffle
  3 | 2 | ii/modules/common/widgets/StyledSwitch.qml | def:modules/common | ext:modules/ii,root
  3 | 2 | ii/modules/common/widgets/WaveVisualizer.qml | def:modules/common | ext:modules/ii,musicLayer
  3 | 2 | ii/modules/ii/sidebarRight/quickToggles/classicStyle/IdleInhibitor.qml | def:modules/ii | ext:lyricsLayer,services
  3 | 2 | ii/services/DownloadService.qml | def:services | ext:modules/ii,root
  3 | 2 | ii/services/Idle.qml | def:services | ext:modules/common,modules/ii
  3 | 2 | ii/services/Wallpapers.qml | def:services | ext:modules/ii,root
  2 | 2 | ii/modules/common/models/quickToggles/AntiFlashbangToggle.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/models/quickToggles/CloudflareWarpToggle.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/models/quickToggles/ColorPickerToggle.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/models/quickToggles/DarkModeToggle.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/models/quickToggles/GameModeToggle.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/models/quickToggles/IdleInhibitorToggle.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/models/quickToggles/MicToggle.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/models/quickToggles/MusicRecognitionToggle.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/models/quickToggles/NightLightToggle.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/models/quickToggles/NotificationToggle.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/models/quickToggles/OnScreenKeyboardToggle.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/models/quickToggles/PowerProfilesToggle.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/models/quickToggles/ScreenSnipToggle.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/panels/lock/LockScreen.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/utils/ScreenshotAction.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/utils/TempScreenshotProcess.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/widgets/DashedBorder.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/widgets/FullscreenPolkitWindow.qml | def:modules/common | ext:modules/ii,modules/waffle
  2 | 2 | ii/modules/common/widgets/NavigationRailExpandButton.qml | def:modules/common | ext:musicLayer,root
  2 | 2 | ii/modules/ii/sessionScreen/SessionScreen.qml | def:modules/ii | ext:modules/waffle,panelFamilies
  2 | 2 | ii/services/SessionWarnings.qml | def:services | ext:modules/ii,modules/waffle
  2 | 2 | ii/services/SongRec.qml | def:services | ext:modules/common,modules/ii
  2 | 2 | ii/services/Updates.qml | def:services | ext:modules/waffle,root
 93 | 1 | ii/modules/waffle/looks/Looks.qml | def:modules/waffle | ext:modules/common
  9 | 1 | ii/modules/common/widgets/ContentPage.qml | def:modules/common | ext:root
  9 | 1 | ii/modules/common/widgets/ContentSection.qml | def:modules/common | ext:root
  9 | 1 | ii/modules/common/widgets/DialogButton.qml | def:modules/common | ext:modules/ii
  9 | 1 | ii/services/GlobalFocusGrab.qml | def:services | ext:modules/ii
  8 | 1 | ii/modules/common/widgets/CircularProgress.qml | def:modules/common | ext:modules/ii
  8 | 1 | ii/modules/common/widgets/ConfigRow.qml | def:modules/common | ext:root
  8 | 1 | ii/modules/common/widgets/PointingHandInteraction.qml | def:modules/common | ext:modules/ii
  7 | 1 | ii/modules/common/widgets/ContentSubsection.qml | def:modules/common | ext:root
  7 | 1 | ii/modules/ii/bar/Bar.qml | def:modules/ii | ext:panelFamilies
  6 | 1 | ii/modules/common/widgets/ConfigSelectionArray.qml | def:modules/common | ext:root
  6 | 1 | ii/modules/common/widgets/ConfigSpinBox.qml | def:modules/common | ext:root
  6 | 1 | ii/services/ResourceUsage.qml | def:services | ext:modules/ii
  5 | 1 | ii/modules/common/widgets/MaterialTextArea.qml | def:modules/common | ext:root
  5 | 1 | ii/modules/common/widgets/RippleButtonWithIcon.qml | def:modules/common | ext:root
  5 | 1 | ii/modules/common/widgets/StyledScrollBar.qml | def:modules/common | ext:modules/ii
  5 | 1 | ii/modules/common/widgets/Toolbar.qml | def:modules/common | ext:modules/ii
  5 | 1 | ii/modules/common/widgets/ToolbarTextField.qml | def:modules/common | ext:modules/ii
  5 | 1 | ii/modules/common/widgets/WindowDialog.qml | def:modules/common | ext:modules/ii
  5 | 1 | ii/modules/common/widgets/WindowDialogButtonRow.qml | def:modules/common | ext:modules/ii
  5 | 1 | ii/modules/common/widgets/WindowDialogTitle.qml | def:modules/common | ext:modules/ii
  5 | 1 | ii/services/Todo.qml | def:services | ext:modules/ii
  4 | 1 | ii/modules/common/Images.qml | def:modules/common | ext:modules/ii
  4 | 1 | ii/modules/common/functions/NotificationUtils.qml | def:modules/common | ext:modules/waffle
  4 | 1 | ii/modules/common/widgets/ClippedFilledCircularProgress.qml | def:modules/common | ext:modules/ii
  4 | 1 | ii/modules/common/widgets/CustomIcon.qml | def:modules/common | ext:modules/ii
  4 | 1 | ii/modules/common/widgets/IconToolbarButton.qml | def:modules/common | ext:modules/ii
  4 | 1 | ii/modules/common/widgets/PagePlaceholder.qml | def:modules/common | ext:modules/ii
  4 | 1 | ii/modules/common/widgets/Revealer.qml | def:modules/common | ext:modules/ii
  4 | 1 | ii/modules/common/widgets/SecondaryTabBar.qml | def:modules/common | ext:modules/ii
  4 | 1 | ii/modules/common/widgets/SecondaryTabButton.qml | def:modules/common | ext:modules/ii
  4 | 1 | ii/modules/common/widgets/ToolbarButton.qml | def:modules/common | ext:modules/ii
  4 | 1 | ii/modules/common/widgets/WindowDialogSeparator.qml | def:modules/common | ext:modules/ii
  4 | 1 | ii/services/MaterialThemeLoader.qml | def:services | ext:root
  3 | 1 | ii/modules/common/Icons.qml | def:modules/common | ext:modules/ii
  3 | 1 | ii/modules/common/functions/Levendist.qml | def:modules/common | ext:services
  3 | 1 | ii/modules/common/models/AnimatedTabIndexPair.qml | def:modules/common | ext:modules/ii
  3 | 1 | ii/modules/common/widgets/ContentSubsectionLabel.qml | def:modules/common | ext:root
  3 | 1 | ii/modules/common/widgets/DialogListItem.qml | def:modules/common | ext:modules/ii
  3 | 1 | ii/modules/common/widgets/DragManager.qml | def:modules/common | ext:modules/waffle
  3 | 1 | ii/modules/common/widgets/RoundCorner.qml | def:modules/common | ext:modules/ii
  3 | 1 | ii/modules/common/widgets/ScrollEdgeFade.qml | def:modules/common | ext:modules/ii
  3 | 1 | ii/modules/common/widgets/SelectionGroupButton.qml | def:modules/common | ext:modules/ii
  3 | 1 | ii/modules/common/widgets/StyledTextInput.qml | def:modules/common | ext:modules/ii
  3 | 1 | ii/modules/common/widgets/ToolbarTabBar.qml | def:modules/common | ext:modules/ii
  3 | 1 | ii/services/Ai.qml | def:services | ext:modules/ii
  3 | 1 | ii/services/LauncherApps.qml | def:services | ext:modules/waffle
  3 | 1 | ii/services/NotesService.qml | def:services | ext:notesLayer
  3 | 1 | ii/services/Weather.qml | def:services | ext:modules/ii
  2 | 1 | ii/lyricsLayer/components/LyricsView.qml | def:lyricsLayer | ext:musicLayer
  2 | 1 | ii/modules/common/utils/ImageDownloaderProcess.qml | def:modules/common | ext:modules/ii
  2 | 1 | ii/modules/common/widgets/ClippedProgressBar.qml | def:modules/common | ext:modules/ii
  2 | 1 | ii/modules/common/widgets/Favicon.qml | def:modules/common | ext:modules/ii
  2 | 1 | ii/modules/common/widgets/FlowButtonGroup.qml | def:modules/common | ext:modules/ii
  2 | 1 | ii/modules/common/widgets/Graph.qml | def:modules/common | ext:modules/ii
  2 | 1 | ii/modules/common/widgets/MaterialTextField.qml | def:modules/common | ext:modules/ii
  2 | 1 | ii/modules/common/widgets/NotificationListView.qml | def:modules/common | ext:modules/ii
